,station_id,station_lat,station_lon,station_region,early_late,early_days,late_days,both_days
406,USC00115901,42.0981,-89.9842,4.0,3.0,9862.0,10958.0,20820.0
407,USC00115917,39.0728,-89.7014,4.0,3.0,10593.0,10593.0,21186.0
408,USC00115927,40.0075,-89.2833,4.0,1.0,10958.0,,
409,USC00115935,39.9842,-90.7525,4.0,1.0,10227.0,,
410,USC00115943,38.3483,-88.8533,4.0,3.0,10592.0,10958.0,21550.0
411,USC00115950,39.5878,-89.0158,4.0,,,,
412,USC00116011,38.3419,-89.3592,4.0,3.0,10958.0,10592.0,21550.0
413,USC00116072,38.3219,-89.8756,4.0,,,,
414,USC00116080,41.1925,-91.0578,4.0,3.0,10958.0,10593.0,21551.0
415,USC00116093,37.5833,-88.7667,4.0,,,,
416,USC00116159,38.9136,-88.1183,4.0,1.0,10593.0,,
417,USC00116200,40.5492,-88.9497,4.0,2.0,,10228.0,
418,USC00116446,38.7003,-88.0817,4.0,2.0,,10592.0,
419,USC00116490,42.0056,-89.3278,4.0,,,,
420,USC00116492,42.0167,-89.3333,4.0,,,,
421,USC00116526,41.3283,-88.9106,4.0,3.0,10958.0,10593.0,21551.0
422,USC00116558,39.0064,-87.6236,4.0,1.0,10958.0,,
423,USC00116579,39.3686,-89.0867,4.0,1.0,10958.0,,
424,USC00116610,39.6186,-87.6672,4.0,3.0,10958.0,10593.0,21551.0
425,USC00116616,41.4947,-87.6803,4.0,3.0,10227.0,10593.0,20820.0
426,USC00116661,41.6653,-88.9781,4.0,3.0,10593.0,10593.0,21186.0
427,USC00116663,40.455,-88.1417,4.0,2.0,,9862.0,
428,USC00116670,39.8208,-91.2436,4.0,1.0,9862.0,,
429,USC00116701,40.7039,-89.5664,4.0,,,,
430,USC00116725,41.3339,-87.7892,4.0,3.0,10958.0,10228.0,21186.0
431,USC00116751,41.3333,-89.1333,4.0,,,,
432,USC00116753,41.3503,-89.1072,4.0,,,,
433,USC00116760,39.9633,-89.8678,4.0,,,,
434,USC00116769,40.0064,-88.1533,4.0,,,,
