available_files,metadata_stations,missing_from_available
ASN00005039,ASN00005039,
ASN00005040,ASN00005040,
ASN00005041,ASN00005041,
ASN00005042,ASN00005042,
ASN00005043,ASN00005043,
ASN00005044,ASN00005044,
ASN00005045,ASN00005045,
ASN00005046,ASN00005046,
ASN00005047,ASN00005047,
ASN00005048,ASN00005048,
ASN00005049,ASN00005049,
ASN00005050,ASN00005050,
ASN00005051,ASN00005051,
ASN00005052,ASN00005052,
ASN00005053,ASN00005053,
ASN00005055,ASN00005055,
ASN00005057,ASN00005057,
ASN00005058,ASN00005058,
ASN00005059,ASN00005059,
ASN00005060,ASN00005060,
ASN00005061,ASN00005061,
ASN00005063,ASN00005063,
ASN00005064,ASN00005064,
ASN00005066,ASN00005066,
ASN00005067,ASN00005067,
ASN00005068,ASN00005068,
ASN00005069,ASN00005069,
ASN00005070,ASN00005070,
ASN00005071,ASN00005071,
ASN00005072,ASN00005072,
ASN00005073,ASN00005073,
ASN00005074,ASN00005074,
ASN00005075,ASN00005075,
ASN00005076,ASN00005076,
ASN00005078,ASN00005078,
ASN00005079,ASN00005079,
ASN00005082,ASN00005082,
ASN00005083,ASN00005083,
ASN00005084,ASN00005084,
ASN00005085,ASN00005085,
ASN00005086,ASN00005086,
ASN00005087,ASN00005087,
ASN00005088,ASN00005088,
ASN00005089,ASN00005089,
ASN00005090,ASN00005090,
ASN00005092,ASN00005092,
ASN00005093,ASN00005093,
ASN00005094,ASN00005094,
ASN00005095,ASN00005095,
ASN00006000,ASN00006000,
ASN00006001,ASN00006001,
ASN00006002,ASN00006002,
ASN00006003,ASN00006003,
ASN00006004,ASN00006004,
ASN00006005,ASN00006005,
ASN00006006,ASN00006006,
ASN00006007,ASN00006007,
ASN00006008,ASN00006008,
ASN00006009,ASN00006009,
ASN00006010,ASN00006010,
ASN00006011,ASN00006011,
ASN00006012,ASN00006012,
ASN00006013,ASN00006013,
ASN00006014,ASN00006014,
ASN00006015,ASN00006015,
ASN00006016,ASN00006016,
ASN00006017,ASN00006017,
ASN00006018,ASN00006018,
ASN00006019,ASN00006019,
ASN00006020,ASN00006020,
ASN00006021,ASN00006021,
ASN00006022,ASN00006022,
